flight_number,airline_name,departure_airport,arrival_airport,departure_time,arrival_time,duration_hours,flight_price
LA8565,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,2/8/2022,1/3/2022,2,2941.19
AM5718,Aeroméxico,Benito Juárez International,O'Hare International,5/18/2022,1/20/2022,8,3334.7
EK2146,Emirates,Dubai International,Hamad International,2/12/2022,9/8/2022,22,3579.62
SK8067,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,3/24/2022,4/6/2022,19,4184.04
UA5079,United Airlines,Los Angeles International,San Francisco International,11/20/2022,8/6/2022,21,333.61
SA2908,South African Airways,O.R. Tambo International,Charles de Gaulle,2/21/2022,11/17/2022,18,2295.62
SQ6821,Singapore Airlines,Changi,Beijing Capital International,12/21/2022,10/1/2022,24,3733.74
IB8664,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,2/23/2022,9/18/2022,11,3140.89
ET1457,Ethiopian Airlines,Bole International,Hamad International,3/27/2022,1/29/2022,7,3660.92
LA3448,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,6/23/2022,5/22/2022,3,1041.97
KE3449,Korean Air,Incheon International,Haneda,3/19/2022,12/21/2022,3,3091.85
NH4005,All Nippon Airways,Haneda,Incheon International,6/8/2022,6/15/2022,8,4926.57
LH2851,Lufthansa,Frankfurt Airport,Charles de Gaulle,1/30/2022,6/14/2022,9,2551.87
AA1542,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,8/27/2022,2/4/2022,10,2404.48
AM4015,Aeroméxico,Benito Juárez International,O'Hare International,2/27/2022,3/15/2022,22,3326.93
LA9647,LATAM Airlines,São Paulo/Guarulhos International,Cape Town International,5/28/2022,8/8/2022,8,3879.63
WN2418,Southwest Airlines,Los Angeles International,San Francisco International,1/14/2022,3/20/2022,10,3089.59
AC3188,Air Canada,Toronto Pearson,John F. Kennedy International,9/25/2022,8/13/2022,24,1334.2
BA3458,British Airways,Heathrow,Charles de Gaulle,9/4/2022,4/20/2022,12,1059.77
AI4480,Air India,Indira Gandhi International,Changi,12/27/2022,8/13/2022,15,3624.54
SQ5580,Singapore Airlines,Changi,Melbourne Airport,12/16/2022,5/8/2022,21,187.81
AI2522,Air India,Indira Gandhi International,Chhatrapati Shivaji International,8/7/2022,10/28/2022,20,967.11
UA6087,United Airlines,Los Angeles International,San Francisco International,1/11/2022,6/28/2022,2,1552.5
BA4592,British Airways,Heathrow,Stockholm Arlanda,2/24/2022,12/10/2022,8,3510.75
EK7596,Emirates,Dubai International,Hamad International,10/11/2022,2/28/2022,20,3413.93
QF3865,Qantas,Sydney Airport,Melbourne Airport,10/16/2022,12/5/2022,21,804.34
ET2811,Ethiopian Airlines,Bole International,Jomo Kenyatta International,11/7/2022,3/31/2022,4,4121.83
EK2263,Emirates,Dubai International,Hamad International,7/7/2022,9/23/2022,23,246.37
QR1777,Qatar Airways,Hamad International,Zurich Airport,11/5/2022,12/6/2022,10,3371.17
AZ9050,Alitalia,Leonardo da Vinci International,Charles de Gaulle,2/16/2022,3/18/2022,23,819.59
KL7530,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,4/20/2022,4/5/2022,23,3272.58
QR4818,Qatar Airways,Hamad International,Bole International,5/14/2022,6/2/2022,14,1534.43
CX4113,Cathay Pacific,Hong Kong International,Changi,6/9/2022,7/27/2022,22,3283.05
LH2341,Lufthansa,Frankfurt Airport,Charles de Gaulle,5/5/2022,11/4/2022,17,2453.78
KL4572,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,11/2/2022,2/28/2022,24,343.76
WN5978,Southwest Airlines,Los Angeles International,Vancouver International,8/4/2022,10/20/2022,23,4574.96
AZ9170,Alitalia,Leonardo da Vinci International,Charles de Gaulle,10/20/2022,5/5/2022,13,2827.32
SA2360,South African Airways,O.R. Tambo International,Frankfurt Airport,3/16/2022,4/26/2022,10,245.31
AC3468,Air Canada,Toronto Pearson,John F. Kennedy International,6/14/2022,2/21/2022,5,2556.64
KL6095,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,6/5/2022,11/6/2022,24,4770.04
LH6417,Lufthansa,Frankfurt Airport,Ministro Pistarini International,6/2/2022,5/10/2022,10,4835.33
IB8118,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,1/3/2022,1/27/2022,8,107.82
NH3367,All Nippon Airways,Haneda,Incheon International,1/14/2022,6/17/2022,2,3954.39
QR5172,Qatar Airways,Hamad International,Bole International,10/25/2022,2/25/2022,8,4336.85
AF3874,Air France,Charles de Gaulle,Frankfurt Airport,3/2/2022,3/3/2022,11,1990.69
AF6790,Air France,Charles de Gaulle,Frankfurt Airport,9/30/2022,10/7/2022,4,2438.41
BA3676,British Airways,Heathrow,Charles de Gaulle,11/14/2022,6/25/2022,23,2855.83
LA2023,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,6/8/2022,3/12/2022,23,3582.93
CX2642,Cathay Pacific,Hong Kong International,Changi,2/14/2022,1/26/2022,6,1564.38
IB2915,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,10/29/2022,6/11/2022,1,262.5
IB1986,Iberia,Adolfo Suárez Madrid–Barajas,Benito Juárez International,2/1/2022,11/11/2022,17,3972.12
KL5737,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,2/6/2022,3/30/2022,4,2721.21
QR4551,Qatar Airways,Hamad International,Bole International,4/9/2022,10/30/2022,15,2725.62
ET5456,Ethiopian Airlines,Bole International,Hamad International,2/4/2022,8/27/2022,11,2534.3
LA2996,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,1/15/2022,1/31/2022,24,1070.35
DL5104,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,4/29/2022,3/24/2022,17,2919.23
QR3327,Qatar Airways,Hamad International,Incheon International,3/11/2022,1/29/2022,12,3568.71
QF3265,Qantas,Sydney Airport,Melbourne Airport,11/4/2022,9/1/2022,7,559.25
AI9509,Air India,Indira Gandhi International,Chhatrapati Shivaji International,6/22/2022,4/1/2022,22,3381.64
QR7697,Qatar Airways,Hamad International,Bole International,7/14/2022,12/24/2022,18,1773.3
CX1254,Cathay Pacific,Hong Kong International,Changi,1/13/2022,4/12/2022,15,1896.9
NZ8005,Air New Zealand,Auckland Airport,Sydney Airport,3/9/2022,2/15/2022,9,1674.94
SK9178,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,9/10/2022,4/15/2022,16,4715.66
KE1824,Korean Air,Incheon International,Beijing Capital International,11/22/2022,11/21/2022,22,986.78
LA7378,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,2/1/2022,10/20/2022,2,2271.39
AI6208,Air India,Indira Gandhi International,Chhatrapati Shivaji International,11/6/2022,12/14/2022,24,2368.73
NH2007,All Nippon Airways,Haneda,Incheon International,3/19/2022,10/21/2022,11,4198.21
AM5247,Aeroméxico,Benito Juárez International,O'Hare International,7/11/2022,6/13/2022,23,4418.34
AA6826,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,7/2/2022,9/3/2022,19,3216.1
AV9889,Avianca,El Dorado International,O'Hare International,8/10/2022,11/3/2022,6,3366.81
KE4971,Korean Air,Incheon International,Hong Kong International,12/21/2022,8/5/2022,17,4959.85
QR7627,Qatar Airways,Hamad International,Bole International,8/26/2022,7/15/2022,7,4863.56
SK2386,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,2/17/2022,10/2/2022,4,2844.52
AA4754,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,4/26/2022,8/4/2022,7,2300.96
NH5022,All Nippon Airways,Haneda,Incheon International,1/2/2022,12/15/2022,20,4631.42
LH2110,Lufthansa,Frankfurt Airport,Charles de Gaulle,10/1/2022,9/29/2022,11,3367.8
AZ2749,Alitalia,Leonardo da Vinci International,Charles de Gaulle,4/14/2022,2/13/2022,8,4484.38
IB3428,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,3/18/2022,7/6/2022,17,1487.98
ET7205,Ethiopian Airlines,Bole International,Hamad International,1/26/2022,4/28/2022,9,2574.57
QR6374,Qatar Airways,Hamad International,Bole International,1/8/2022,12/14/2022,6,1180.49
DL3866,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,12/21/2022,5/4/2022,23,3275.64
AV3031,Avianca,El Dorado International,O'Hare International,7/12/2022,1/22/2022,11,1720.75
QR2424,Qatar Airways,Hamad International,Bole International,3/16/2022,1/17/2022,13,2132.38
QF5669,Qantas,Sydney Airport,Haneda,1/16/2022,2/22/2022,4,375.63
KL3038,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,12/24/2022,9/27/2022,22,2310.57
AZ8044,Alitalia,Leonardo da Vinci International,Charles de Gaulle,8/25/2022,3/9/2022,22,3249.06
AC6293,Air Canada,Toronto Pearson,John F. Kennedy International,1/14/2022,10/29/2022,21,3401.84
AI8875,Air India,Indira Gandhi International,Chhatrapati Shivaji International,1/28/2022,7/14/2022,9,1811.09
SQ5198,Singapore Airlines,Changi,Beijing Capital International,3/1/2022,1/22/2022,24,2074.68
UA8491,United Airlines,Los Angeles International,San Francisco International,5/1/2022,11/9/2022,24,1038.15
DL4493,Delta Air Lines,John F. Kennedy International,Vienna International,12/11/2022,10/13/2022,8,2375.61
DL4343,Delta Air Lines,John F. Kennedy International,Logan International,4/5/2022,8/9/2022,17,3568.41
SQ6358,Singapore Airlines,Changi,Beijing Capital International,4/25/2022,4/29/2022,20,1586.15
NZ8880,Air New Zealand,Auckland Airport,Sydney Airport,4/4/2022,3/26/2022,10,237.33
ET2424,Ethiopian Airlines,Bole International,Stockholm Arlanda,8/23/2022,9/29/2022,5,3539.22
KE3686,Korean Air,Incheon International,Haneda,2/7/2022,6/24/2022,18,4663.5
ET8279,Ethiopian Airlines,Bole International,Leonardo da Vinci International,3/16/2022,3/1/2022,8,309.57
AM4822,Aeroméxico,Benito Juárez International,John F. Kennedy International,6/16/2022,9/9/2022,9,4829.59
WN2403,Southwest Airlines,Los Angeles International,San Francisco International,10/23/2022,11/17/2022,20,1447.57
SQ5275,Singapore Airlines,Changi,Melbourne Airport,1/20/2022,7/10/2022,18,4375.13
AC5741,Air Canada,Toronto Pearson,John F. Kennedy International,6/9/2022,3/4/2022,24,540.34
TG5091,Thai Airways,Suvarnabhumi,Changi,5/28/2022,10/15/2022,19,798.08
TG6876,Thai Airways,Suvarnabhumi,Changi,3/19/2022,6/11/2022,24,1672.2
LH6645,Lufthansa,Frankfurt Airport,Brisbane Airport,12/16/2022,4/17/2022,22,3020.57
TG3301,Thai Airways,Suvarnabhumi,Changi,6/18/2022,7/20/2022,11,767.77
IB6339,Iberia,Adolfo Suárez Madrid–Barajas,Auckland Airport,2/1/2022,9/27/2022,20,2492.2
AA6494,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,9/20/2022,7/31/2022,11,3719.05
EK8895,Emirates,Dubai International,Jomo Kenyatta International,6/29/2022,9/11/2022,14,1801.1
SK4212,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,1/10/2022,2/5/2022,7,3701.36
NZ7644,Air New Zealand,Auckland Airport,Sydney Airport,10/9/2022,4/28/2022,2,4049.66
KL3471,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,8/8/2022,7/24/2022,20,2319.19
UA2309,United Airlines,Los Angeles International,San Francisco International,4/23/2022,8/14/2022,21,2218.84
AZ9404,Alitalia,Leonardo da Vinci International,Charles de Gaulle,11/14/2022,12/8/2022,8,2819.72
SK9753,SAS Scandinavian,Copenhagen Airport,Vancouver International,7/8/2022,2/14/2022,2,2492.16
QF3040,Qantas,Sydney Airport,Melbourne Airport,10/9/2022,1/25/2022,6,4467.99
AZ5740,Alitalia,Leonardo da Vinci International,O'Hare International,7/22/2022,7/7/2022,5,3209.32
IB2768,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,12/24/2022,12/22/2022,16,2516.47
KE2208,Korean Air,Incheon International,Changi,11/3/2022,1/7/2022,15,4828.85
SK4312,SAS Scandinavian,Copenhagen Airport,Amsterdam Airport Schiphol,1/9/2022,12/13/2022,16,3911.87
AM2645,Aeroméxico,Benito Juárez International,O'Hare International,1/1/2022,1/15/2022,20,1426.36
SK9753,SAS Scandinavian,Copenhagen Airport,Vancouver International,7/18/2022,4/28/2022,22,599.06
TG5404,Thai Airways,Suvarnabhumi,Changi,5/25/2022,1/5/2022,11,2212.09
AM4613,Aeroméxico,Benito Juárez International,O'Hare International,3/3/2022,9/11/2022,14,4526.94
NH7962,All Nippon Airways,Haneda,Hong Kong International,5/26/2022,3/3/2022,2,865.38
AZ1133,Alitalia,Leonardo da Vinci International,Charles de Gaulle,5/12/2022,3/1/2022,21,689.9
SQ3804,Singapore Airlines,Changi,Beijing Capital International,7/5/2022,12/16/2022,18,3084.4
AC5741,Air Canada,Toronto Pearson,John F. Kennedy International,9/7/2022,5/7/2022,7,188.98
EK6720,Emirates,Dubai International,Hamad International,7/10/2022,4/7/2022,18,1553.57
AC5204,Air Canada,Toronto Pearson,Cape Town International,11/15/2022,9/23/2022,18,1073.66
KE9571,Korean Air,Incheon International,Haneda,2/5/2022,11/30/2022,10,2671.36
LH3189,Lufthansa,Frankfurt Airport,Charles de Gaulle,2/9/2022,11/27/2022,1,4229.65
UA3397,United Airlines,Los Angeles International,San Francisco International,4/24/2022,9/19/2022,10,3566.46
AC7380,Air Canada,Toronto Pearson,John F. Kennedy International,5/11/2022,1/18/2022,14,577.3
QR4438,Qatar Airways,Hamad International,Vienna International,11/11/2022,9/23/2022,21,4286.84
AZ5907,Alitalia,Leonardo da Vinci International,Charles de Gaulle,9/17/2022,6/28/2022,22,4219.29
SA8371,South African Airways,O.R. Tambo International,Hamad International,1/25/2022,9/12/2022,9,2496.82
NZ9603,Air New Zealand,Auckland Airport,Sydney Airport,6/17/2022,7/22/2022,20,1371.93
NH7687,All Nippon Airways,Haneda,Incheon International,2/23/2022,5/28/2022,21,3610.87
AI8078,Air India,Indira Gandhi International,O.R. Tambo International,6/13/2022,5/26/2022,13,3774.91
AV9242,Avianca,El Dorado International,O'Hare International,10/27/2022,9/27/2022,14,393.25
IB8002,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,6/23/2022,11/21/2022,19,1940.74
NZ8001,Air New Zealand,Auckland Airport,Sydney Airport,6/29/2022,12/26/2022,24,4550.5
KE5043,Korean Air,Incheon International,Haneda,4/12/2022,6/17/2022,20,3653.59
SQ2013,Singapore Airlines,Changi,Hamad International,8/2/2022,11/15/2022,3,1247.97
AV6698,Avianca,El Dorado International,O'Hare International,9/1/2022,10/2/2022,17,284.48
DL1701,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,10/13/2022,3/30/2022,13,877.44
IB4989,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,9/11/2022,8/31/2022,1,4352.91
AZ1923,Alitalia,Leonardo da Vinci International,Charles de Gaulle,1/15/2022,11/5/2022,5,3130.9
AV8325,Avianca,El Dorado International,Benito Juárez International,6/27/2022,11/22/2022,22,2348.96
LH1504,Lufthansa,Frankfurt Airport,Charles de Gaulle,5/12/2022,9/24/2022,13,4204.65
DL9974,Delta Air Lines,John F. Kennedy International,Hong Kong International,1/27/2022,3/19/2022,7,2984.33
LH7839,Lufthansa,Frankfurt Airport,Zurich Airport,12/9/2022,12/26/2022,15,4986.14
KE5512,Korean Air,Incheon International,Haneda,4/15/2022,8/31/2022,5,914.0
AM7520,Aeroméxico,Benito Juárez International,O'Hare International,7/17/2022,8/3/2022,7,2218.4
AZ1859,Alitalia,Leonardo da Vinci International,Vienna International,10/1/2022,4/4/2022,13,2603.75
SK4327,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,10/22/2022,5/26/2022,20,4870.13
AF2406,Air France,Charles de Gaulle,Zurich Airport,6/15/2022,1/18/2022,1,103.15
BA8137,British Airways,Heathrow,Charles de Gaulle,2/12/2022,2/19/2022,8,1472.4
AC2322,Air Canada,Toronto Pearson,John F. Kennedy International,8/19/2022,11/20/2022,4,2495.76
SA8526,South African Airways,O.R. Tambo International,Charles de Gaulle,10/16/2022,3/8/2022,4,2500.47
QF9225,Qantas,Sydney Airport,Melbourne Airport,10/22/2022,10/17/2022,23,2562.6
SK1604,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,6/18/2022,3/24/2022,21,4449.52
KL3196,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,11/15/2022,11/18/2022,2,3087.51
SA9580,South African Airways,O.R. Tambo International,Charles de Gaulle,12/11/2022,8/20/2022,22,4803.58
AI2096,Air India,Indira Gandhi International,Chhatrapati Shivaji International,5/3/2022,8/9/2022,19,4350.23
AZ7822,Alitalia,Leonardo da Vinci International,Charles de Gaulle,12/18/2022,9/4/2022,14,258.42
DL6355,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,11/11/2022,12/8/2022,9,362.58
CX4224,Cathay Pacific,Hong Kong International,Changi,8/26/2022,7/31/2022,3,3716.01
AA4011,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,2/22/2022,11/16/2022,15,4425.94
UA7542,United Airlines,Los Angeles International,San Francisco International,4/6/2022,12/24/2022,1,694.22
NH3534,All Nippon Airways,Haneda,Incheon International,6/13/2022,12/16/2022,20,153.88
QF7760,Qantas,Sydney Airport,Melbourne Airport,6/15/2022,7/10/2022,23,4359.85
LA3771,LATAM Airlines,São Paulo/Guarulhos International,Hartsfield-Jackson Atlanta,11/29/2022,9/26/2022,6,688.51
NZ5909,Air New Zealand,Auckland Airport,Vancouver International,5/23/2022,3/11/2022,17,2262.49
SA8416,South African Airways,O.R. Tambo International,Charles de Gaulle,3/16/2022,4/22/2022,12,2901.71
BA7461,British Airways,Heathrow,Bole International,12/17/2022,11/27/2022,8,1465.98
SK4443,SAS Scandinavian,Copenhagen Airport,Melbourne Airport,4/7/2022,6/5/2022,1,2209.94
LH8572,Lufthansa,Frankfurt Airport,Charles de Gaulle,6/14/2022,11/15/2022,7,4736.61
AV9933,Avianca,El Dorado International,O'Hare International,10/27/2022,11/8/2022,13,1915.51
QF2364,Qantas,Sydney Airport,Melbourne Airport,3/27/2022,5/12/2022,4,3181.15
KE1593,Korean Air,Incheon International,Haneda,9/2/2022,12/11/2022,16,4680.45
LA8980,LATAM Airlines,São Paulo/Guarulhos International,Ministro Pistarini International,9/3/2022,2/18/2022,18,4791.45
AF6961,Air France,Charles de Gaulle,Frankfurt Airport,12/18/2022,5/19/2022,15,2968.41
BA3590,British Airways,Heathrow,Charles de Gaulle,6/9/2022,11/18/2022,10,4631.23
CX9197,Cathay Pacific,Hong Kong International,Amsterdam Airport Schiphol,6/20/2022,1/13/2022,21,4715.56
QR7340,Qatar Airways,Hamad International,Bole International,1/28/2022,9/28/2022,15,1441.99
AC3027,Air Canada,Toronto Pearson,São Paulo/Guarulhos International,9/25/2022,7/20/2022,20,4191.42
NH8158,All Nippon Airways,Haneda,Incheon International,9/11/2022,9/20/2022,9,2326.68
AI7588,Air India,Indira Gandhi International,Chhatrapati Shivaji International,8/18/2022,4/9/2022,20,4459.99
NH9186,All Nippon Airways,Haneda,Incheon International,11/28/2022,7/28/2022,22,733.97
AI5189,Air India,Indira Gandhi International,Jorge Chávez International,8/4/2022,3/9/2022,15,1693.77
SA8537,South African Airways,O.R. Tambo International,Charles de Gaulle,8/1/2022,1/5/2022,15,3325.2
AM8244,Aeroméxico,Benito Juárez International,O'Hare International,12/27/2022,6/8/2022,21,4052.41
BA8865,British Airways,Heathrow,Hartsfield-Jackson Atlanta,9/22/2022,6/5/2022,12,2040.5
IB9642,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,7/4/2022,8/17/2022,1,2303.28
AA7154,American Airlines,John F. Kennedy International,Hartsfield-Jackson Atlanta,12/8/2022,6/14/2022,6,803.93
NH1262,All Nippon Airways,Haneda,Incheon International,5/6/2022,11/2/2022,17,896.19
EK7931,Emirates,Dubai International,Chhatrapati Shivaji International,6/26/2022,7/17/2022,24,2231.07
QR3479,Qatar Airways,Hamad International,Bole International,4/10/2022,11/23/2022,10,1093.45
AI2034,Air India,Indira Gandhi International,Chhatrapati Shivaji International,4/30/2022,4/1/2022,9,3927.26
ET6876,Ethiopian Airlines,Bole International,Hamad International,9/23/2022,6/12/2022,10,3776.92
ET4581,Ethiopian Airlines,Bole International,Hamad International,11/11/2022,6/10/2022,4,1452.46
KE7799,Korean Air,Incheon International,Denver International,6/28/2022,4/9/2022,13,3037.93
SK3846,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,9/29/2022,7/22/2022,18,839.05
AV2480,Avianca,El Dorado International,O'Hare International,3/18/2022,10/10/2022,7,1944.45
NZ7026,Air New Zealand,Auckland Airport,Sydney Airport,6/30/2022,4/16/2022,23,1784.05
AZ3352,Alitalia,Leonardo da Vinci International,Amsterdam Airport Schiphol,12/1/2022,3/24/2022,2,4722.95
NZ3355,Air New Zealand,Auckland Airport,Haneda,7/23/2022,1/16/2022,18,1837.9
IB3853,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,9/5/2022,6/5/2022,10,4065.16
AI4973,Air India,Indira Gandhi International,Beijing Capital International,12/11/2022,6/9/2022,17,2103.62
NZ3482,Air New Zealand,Auckland Airport,Sydney Airport,3/29/2022,8/9/2022,23,3094.5
WN2848,Southwest Airlines,Los Angeles International,San Francisco International,6/11/2022,7/23/2022,7,2886.43
KL6990,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Charles de Gaulle,3/14/2022,1/1/2022,5,3073.06
QF7218,Qantas,Sydney Airport,Melbourne Airport,7/28/2022,10/8/2022,19,1846.89
DL7030,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,2/18/2022,12/9/2022,9,3353.22
KE5770,Korean Air,Incheon International,Haneda,3/12/2022,10/15/2022,11,2481.09
SK1678,SAS Scandinavian,Copenhagen Airport,Charles de Gaulle,4/8/2022,3/3/2022,23,1706.31
AC2311,Air Canada,Toronto Pearson,John F. Kennedy International,5/22/2022,11/28/2022,3,3659.25
NZ5365,Air New Zealand,Auckland Airport,Haneda,6/8/2022,6/7/2022,16,986.23
LH3986,Lufthansa,Frankfurt Airport,Charles de Gaulle,10/11/2022,10/19/2022,24,3272.26
QR9598,Qatar Airways,Hamad International,Charles de Gaulle,10/24/2022,6/19/2022,16,1655.94
LH1604,Lufthansa,Frankfurt Airport,Charles de Gaulle,10/19/2022,8/9/2022,10,4230.36
QR3022,Qatar Airways,Hamad International,Bole International,12/4/2022,2/15/2022,1,860.08
DL1126,Delta Air Lines,John F. Kennedy International,Ministro Pistarini International,12/12/2022,6/27/2022,22,343.74
UA6894,United Airlines,Los Angeles International,San Francisco International,5/22/2022,4/13/2022,7,1570.45
NZ8247,Air New Zealand,Auckland Airport,Sydney Airport,2/8/2022,7/14/2022,3,894.58
DL7030,Delta Air Lines,John F. Kennedy International,Hartsfield-Jackson Atlanta,8/7/2022,2/18/2022,19,1084.33
UA4854,United Airlines,Los Angeles International,San Francisco International,8/25/2022,1/3/2022,20,292.41
SK4443,SAS Scandinavian,Copenhagen Airport,Melbourne Airport,9/27/2022,12/22/2022,7,1173.38
IB9934,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,4/25/2022,12/9/2022,17,101.29
IB3864,Iberia,Adolfo Suárez Madrid–Barajas,Charles de Gaulle,8/31/2022,11/11/2022,20,3905.53
SQ3494,Singapore Airlines,Changi,Beijing Capital International,10/11/2022,1/30/2022,4,1483.3
SA2779,South African Airways,O.R. Tambo International,Charles de Gaulle,4/17/2022,1/6/2022,8,2106.89
BA2383,British Airways,Heathrow,Charles de Gaulle,10/28/2022,5/25/2022,9,1223.16
LH9425,Lufthansa,Frankfurt Airport,Charles de Gaulle,11/5/2022,8/28/2022,10,3584.65
BA7332,British Airways,Heathrow,Charles de Gaulle,5/31/2022,11/6/2022,20,3346.16
WN2733,Southwest Airlines,Los Angeles International,San Francisco International,11/12/2022,12/22/2022,23,753.43
UA3321,United Airlines,Los Angeles International,Vancouver International,9/22/2022,9/10/2022,9,4275.11
AI1429,Air India,Indira Gandhi International,Dubai International,9/5/2022,7/10/2022,19,3021.2
